Document_Number,RFx_Type,High_Level_Category,Successful_Supplier,Awarded_Amount,Award_Date,Division,Small_Business
Doc3951063187,RFSQ,Goods & Services,2489960 ONTARIO INC,1862705.2230294794,2022-09-22,"Corporate Real Estate Management,Municipal Licensing & Standards,Parks, Forestry & Recreation,Toronto Water,Transportation Services",FALSE
Doc3883709991,RFP,Goods & Services,Joe Pace & Sons,36383605.2872939,2023-02-07,Purchasing & Materials Management,FALSE
Doc4359641804,RFSQ,Professional Services,Howden Roots LLC,17782113.004825078,2023-09-10,City Planning,FALSE
Doc4104126185,RFSQ,Construction Services,ARALIA INTERIOR PLANTSCAPING  INC,23522513.153380714,2022-12-11,"Corporate Real Estate Management,Shelter, Support & Housing Administration",TRUE
Doc3597441618,RFQ,Goods & Services,Midome Construction Services Inc,5260119.013604708,2023-11-11,Court Services,TRUE
Doc3934508596,RFP,Goods & Services,"Bell Canada o/a Bell, BCE Inc.",45603410.91314331,2022-05-31,Corporate Real Estate Management,TRUE
Doc4031969151,RFQ,Goods and Services,PTR PAVING INC,17680882.152402773,2024-10-31,Toronto Building,TRUE
Doc4247073892,RFP,Goods & Services,AECOM Canada Ltd.,24593486.885074526,2023-06-23,Engineering & Construction Services - Capital Works Delivery,FALSE
Doc4277122039,RFQ,Professional Services,MORRISON HERSHFIELD LTD,2071040.6575817615,2022-08-23,"Technology Services,Transportation Services",FALSE
Doc4470673376,RFQ,Offer to Purchase,WM WELLER TREE SERVICE LTD,46153420.95331289,2024-11-04,City Planning,TRUE
Doc3597441618,RFP,Goods & Services,Ridge Road Training & Consulting Inc.,24383070.210344158,2023-01-07,"Fire Services,Fleet Services,Toronto Paramedic Services",FALSE
Doc3722909802,RFP,Professional Services,SSG,48097014.90891166,2022-10-30,"Corporate Real Estate Management,Shelter, Support & Housing Administration",FALSE
Doc4087325475,RFSQ,Offer to Purchase,GATESTONE & CO INC,4092503.4428946674,2022-05-01,Municipal Licensing & Standards,TRUE
Doc3778035206,RFQ,Goods & Services,WM WELLER TREE SERVICE LTD,25182864.453992806,2024-03-14,Economic Development & Culture,TRUE
Doc4468015736,RFQ,Construction Services,READ JONES CHRISTOFFERSEN LTD,36837689.62463364,2024-08-16,Toronto Water,TRUE
Doc3918674405,RFP,Goods and Services,ATA ARCHITECTS INC,40580097.98056446,2022-05-06,"Social Development, Finance & Administration",FALSE
Doc4024276481,RFQ,Professional Services,GRASCAN CONSTRUCTION LTD,15766130.5393558,2024-08-22,Solid Waste Management Services,TRUE
Doc3610971650,RFQ,Offer to Purchase,INTERNATIONAL NAME PLATE SUPPLIES LIMITED,36216906.089219265,2024-01-20,Children's Services,FALSE
Doc4629883456,RFQ,Goods & Services,Dye & Durham Corporation,23813557.03319423,2022-09-15,Engineering & Construction Services - Capital Works Delivery,TRUE
Doc4288902389,RFP,Offer to Purchase,CANETA RESEARCH INC,5392779.355286621,2023-01-16,Finance & Treasury Services,FALSE
Doc4006632375,RFP,Offer to Purchase,LISHEY METAL FABRICATION LTD,18424530.567601323,2023-09-15,Children's Services,TRUE
Doc3850138283,RFSQ,Goods and Services,Metro Freightliner Hamilton Inc. o/a Metro Truck Group,25178379.835095257,2022-03-08,"Technology Services,Transportation Services",FALSE
Doc4291231363,RFSQ,Goods & Services,Dole Contracting,44850805.48829865,2022-05-20,Engineering & Construction Services - Capital Works Delivery,FALSE
Doc3846791801,RFP,Goods & Services,Maple-Crete Inc.,22491509.425919503,2022-04-12,Solid Waste Management Services,FALSE
Doc4359357632,RFP,Professional Services,Office Central Inc.,17345547.2830683,2024-04-12,City Manager's Office,FALSE
Doc4107019103,RFP,Professional Services,Garage Supply Contracting Inc.,1302860.570140183,2024-03-31,Engineering & Construction Services - Engineering Services,FALSE
Doc4024276481,RFSQ,Professional Services,Joe Pace & Sons,7185697.332955897,2024-10-19,NA,FALSE
Doc4413383564,RFP,Goods and Services,DE VROOMEN BULB CANADA INC,44138478.82556729,2024-05-08,Employment & Social Services,TRUE
Doc4021925808,RFP,Professional Services,O-Two Medical Technologies Inc.,27451673.05076029,2023-03-08,"Parks, Forestry & Recreation",TRUE
Doc4454159621,RFSQ,Goods and Services,MOON-MATZ LTD,40720713.476534,2024-03-02,Toronto Public Health,TRUE
Doc4561503552,RFQ,Professional Services,CDMV Inc.,19582604.4594869,2022-01-14,Corporate Real Estate Management,FALSE
Doc4051355928,RFP,Offer to Purchase,VAUGHAN PAVING LTD,43953027.30577532,2023-05-16,"Parks, Forestry & Recreation",FALSE
Doc3674226184,RFQ,Construction Services,Aon Solutions Canada Inc.,27760543.77388209,2023-04-06,Revenue Services,FALSE
Doc3997770153,RFSQ,Construction Services,Sutherland-Schultz Ltd.,14160068.866447546,2023-12-10,Toronto Water,FALSE
Doc3814081357,RFSQ,Goods and Services,NATIONAL CREDIT RECOVERY INC,41671377.884806134,2023-10-21,"Social Development, Finance & Administration",TRUE
Doc3602895745,RFSQ,Goods and Services,RV ANDERSON ASSOCIATES LTD,26070429.170154966,2024-08-01,Housing Secretariat,TRUE
Doc3865067327,RFSQ,Professional Services,Kooy Brothers Lawn Equipment LTD,38603217.14787278,2023-03-05,Seniors Services and Long-Term Care,TRUE
Doc3694194042,RFQ,Professional Services,"Bell Canada o/a Bell, BCE Inc.",6982221.7635810375,2023-08-12,City Manager's Office,FALSE
Doc3483062371,RFSQ,Professional Services,Gillam Group Inc.,34908831.637352705,2022-11-08,City Clerk's Office,TRUE
Doc4419211645,RFP,Construction Services,INSITUFORM TECHNOLOGIES LTD,41520646.517165005,2022-08-16,"City Planning,Technology Services",TRUE
Doc4044299808,RFP,Construction Services,INLAND LIFERAFTS & MARINE LTD,41675766.39575418,2023-03-17,"Fire Services,Municipal Licensing & Standards,Parks, Forestry & Recreation,Seniors Services and Long-Term Care,Toronto Paramedic Services",TRUE
Doc4394844139,RFQ,Goods and Services,DOUGLAS POWERTECH ENTERPRISES INC.,19237016.027909704,2024-01-23,Economic Development & Culture,FALSE
Doc3923013040,RFP,Construction Services,DUTCHMASTER NURSERY,16333576.225792058,2023-04-27,Toronto Water,FALSE
Doc4414439337,RFQ,Professional Services,DRAKE INTERNATIONAL INC,34408503.17198783,2024-01-19,Corporate Real Estate Management,FALSE
Doc3790262987,RFP,Construction Services,MISTER CHEMICAL LTD,9579027.360654436,2022-09-30,"Technology Services,Transportation Services",FALSE
Doc4543204216,RFQ,Professional Services,Pine Valley Corp,37309574.38971382,2022-06-08,Children's Services,FALSE
Doc4001854894,RFQ,Professional Services,ADVANCE SOLUTIONS CORPORATION,7342123.157111928,2022-08-11,City Clerk's Office,FALSE
Doc4577962498,RFQ,Goods and Services,WALKER ENVIRONMENTAL GROUP INC,14559700.13840124,2024-02-16,"Corporate Real Estate Management,Municipal Licensing & Standards,Parks, Forestry & Recreation,Toronto Water,Transportation Services",FALSE
Doc4419641221,RFSQ,Offer to Purchase,WM WELLER TREE SERVICE LTD,15322964.417748153,2022-08-10,Fleet Services,TRUE
Doc3714174258,RFSQ,Professional Services,Kroll Consulting Canada Co.,17267648.522625677,2023-12-21,NA,FALSE
Doc4157422445,RFP,Offer to Purchase,D CRUPI AND SONS,3690973.742166534,2022-11-30,Corporate Real Estate Management,FALSE
Doc4419641221,RFP,Goods & Services,Duron Ontario,40429534.92572997,2023-02-26,Economic Development & Culture,TRUE
Doc4115631087,RFSQ,Construction Services,1246175 Ontario Limited o/a Active Mechanical Services,29955527.842743322,2022-01-01,"Technology Services,Transportation Services",FALSE
Doc3932901536,RFP,Construction Services,Clearway Construction Inc,22771982.053644024,2022-03-11,"Fire Services,Municipal Licensing & Standards,Parks, Forestry & Recreation,Seniors Services and Long-Term Care,Toronto Paramedic Services",FALSE
Doc4392014769,RFSQ,Offer to Purchase,GK CHEMICAL SPECIALTIES CO,26535139.49236367,2023-01-21,Fire Services,FALSE
Doc4273922673,RFQ,Professional Services,PTR Paving inc.,5522253.693663515,2023-01-20,Information & Technology,TRUE
